SoilMoisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Crop,Irrigation
19.5,25.2,22.4,436.8,17.7,52.1,Sunflower,1
23.8,23.9,15.4,308.0,23.7,85.7,Sugarcane,1
20.4,15.3,21.2,108.7,11.2,62.8,Maize,1
19.4,17.5,19.2,152.4,36.9,88.8,Soybean,1
29.2,28.3,18.5,297.0,25.8,47.0,Corn,0
31.6,14.0,29.3,298.7,16.5,22.4,Maize,0
13.1,15.9,17.8,452.4,27.6,22.2,Onion,1
11.1,22.2,24.4,199.1,12.3,39.0,Beans,1
28.2,16.1,16.6,361.2,33.2,74.0,Carrot,0
34.3,22.1,23.0,210.4,24.1,46.0,Cotton,0
33.1,33.6,19.6,400.4,27.9,73.3,Cotton,0
18.5,53.7,15.4,260.1,24.5,27.6,Onion,1
45.0,9.7,16.1,342.4,32.0,34.2,Sunflower,0
45.0,17.9,17.9,350.1,34.3,81.0,Carrot,0
38.7,21.8,18.5,367.3,22.9,49.9,Lettuce,0
21.3,0.0,21.7,260.4,22.7,43.6,Carrot,1
20.2,14.3,9.5,426.4,24.9,37.3,Cabbage,1
24.7,0.8,19.9,306.0,44.7,23.6,Sunflower,0
37.4,5.7,21.7,497.5,40.7,61.5,Cotton,0
5.6,6.8,16.7,286.3,36.2,88.8,Barley,1
30.1,25.4,20.1,180.3,31.3,42.8,Barley,0
29.3,20.1,18.2,364.9,15.2,32.2,Sugarcane,1
29.3,0.0,22.4,392.6,18.3,57.9,Wheat,0
31.8,28.1,13.8,322.7,35.5,57.1,Soybean,0
35.0,21.5,17.0,215.3,31.5,79.9,Maize,0
29.7,13.2,21.2,329.3,19.3,20.4,Wheat,0
43.7,24.7,14.0,365.7,17.2,42.8,Onion,0
32.9,24.2,24.7,213.2,26.2,45.7,Tomato,0
28.2,20.6,24.6,297.0,9.5,65.2,Onion,0
16.5,5.9,19.8,203.7,32.8,21.7,Cabbage,1
7.2,17.6,21.6,350.7,24.0,58.7,Peas,1
28.4,10.5,17.0,288.9,11.0,46.1,Corn,0
26.7,23.9,15.6,315.4,25.5,81.4,Soybean,0
13.6,24.5,28.9,233.3,11.5,37.9,Peas,1
13.2,24.9,19.2,231.3,25.5,50.7,Carrot,1
20.9,11.1,18.3,456.0,26.0,35.1,Peas,1
37.1,18.5,18.1,170.9,18.9,29.3,Cotton,0
29.2,0.0,20.9,233.8,31.8,50.7,Beans,0
42.8,13.2,12.3,265.7,26.5,56.2,Cotton,0
30.8,6.7,29.2,226.9,14.8,73.0,Cotton,0
32.0,26.0,17.6,90.6,21.6,86.4,Onion,0
26.4,18.7,17.7,305.9,43.8,80.0,Sugarcane,1
34.7,35.4,21.7,392.6,29.9,60.1,Cotton,0
35.3,41.3,10.2,284.8,29.7,87.3,Wheat,0
18.3,11.3,17.3,173.3,25.9,43.6,Soybean,1
